name,year,type,Longitude,Latitude,neighborhood,photo,screenshot,address,description,activity,community,artist,website,,,,,,,,,,,,
Set in Stone ,,Gathering Spaces,-87.608563,41.835313,,https://www.natureregen.org/wp-content/uploads/2024/06/SetInStone.jpg,,,"This design aims to interpret a traditional Chinese ""scholar's rock"" by sculpting, molding, and fabricating a sculpture that captures the magnificence experienced when viewing these rocks. The scholar's rock sculpture is positioned at the center of a serene rock garden, surrounded by hand-carved log benches for viewing and contemplation.",Activity: More Than One Story https://www.morethanonestory.org/en/play,"Set in Stone is the site of an annual Mid-Autumn Moon Festival in September, hosted by the Chinese American Museum of Chicago, Field Museum, and Chicago Park District. ",Artists - Andy Bellomo and Anna Murphy ,https://ccamuseum.org/history-and-mission/  ,,,,,,,,,,,,
Sankofa for the Earth,,Gathering Spaces,-87.596312,41.817937,,https://www.natureregen.org/wp-content/uploads/2024/06/Sankofa-for-the-Earth-1.jpg,,,"This project features a “Sankofa” bird made from mixed-media and recycled materials. In Africa, a bird looking backwards over its tail represents the Sankofa symbol, which means “go back and fetch it.” It is an understanding that our past(s) holds important information to move us forward in life. There is a mosaic on the exterior of the bird and mural on the interior representing Bronzeville history. QR codes are integrated into the mural design to allow visitors with smartphones, to access sites with information about the images included in the mural, as well as, information on Bronzeville, the Chicago Park District and the Field Museum.",Activity: More Than One Story https://www.morethanonestory.org/en/play,"Community Partner: South Side Community Art Center (Bronzeville) preserves, conserves and promotes the legacy and future of African American art and artists, while educating the community on the value of art and culture.","Artists - Arlene Turner Crawford, Dorian Sylvain, 
Raymond A. Thomas", https://www.sscartcenter.org,,,,,,,,,,,,
La Ronda Parakata,,Gathering Spaces,-87.603688,41.832437,,https://www.natureregen.org/wp-content/uploads/2024/06/La-Ronda-Parakata-1.jpg,,,"This circular sculpture, or ""ronda,"" consists of interlocking butterfly forms and is inspired by the magic symbolism of the monarch butterfly, harmony with nature, and migration. The center of the space features native plants and repurposed cement blocks as rustic seating. ",Activity: More Than One Story https://www.morethanonestory.org/en/play," La Ronda Paraka hosts an annual Día de los Muertos event in late October, which is organized by Casa Michoacán (Pilsen), Northeastern Illinois University Bilingual School Programs, Field Museum, and Chicago Park District.","Artists - Hector Duarte, Alfonso Piloto Nieves
",http://chicagotiempolibre.com/casa-michoacan-chicago   ,,,,,,,,,,,,
Caracol,,Gathering Spaces,-87.608937,41.846187,,https://www.natureregen.org/wp-content/uploads/2024/06/Caracol.jpg,,,"The art installation called Caracol, which means ""snail"" and ""shell"" in Spanish, represents the immigrant's longing to belong while preserving their memories and identity. Just as snails play a crucial role in the natural world by breaking down plant matter and enriching the soil, immigrants also contribute to and revitalize the society they join. The spiral structure of Caracol symbolizes the continual movement from the familiar to the unknown, and the installation includes a versatile table, murals with language and imagery, a stage, and a Mesoamerican numbers hopscotch game.",Activity: More Than One Story https://www.morethanonestory.org/en/play,Contratiempo (Pilsen),"Artists - Georgina Valverde, Diana Solís, José Terrazas
",https://contratiempo.org,,,,,,,,,,,,
"BRONZEWOOD
formerly Sounding Bronzeville",,Gathering Spaces,-87.600437,41.823563,,https://www.natureregen.org/wp-content/uploads/2024/06/Bronzewood-1.jpg,,,"The new space in Bronzeville was created by community members in partnership with the Chicago Park District. It features modern, geometric seating and reflective elements in a shaded woodland near Oakwood Blvd. The design was inspired by the woven willow sculptural forms and mission of Sounding Bronzeville, the previous Gathering Space. Bronzewood showcases sturdy oak sculptures that pay tribute to the resilience and strength of African-Americans who migrated north and now reside in the Bronzeville community, similar to Sounding Bronzeville.",Activity: More Than One Story https://www.morethanonestory.org/en/play,Community Partner: Chicago Park District (Bronzeville) and blkHaUS studios,Artists - members of the Bronzeville community,https://blkhausstudios.com/our-community,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
