name,year,type,Longitude,Latitude,Google Maps Plus Code,address,neighborhood,description,Community Organization Partner,Artists Involved,website/community org,website artist(s),where to find
St Mary of Vernon,,,-87.98049,42.23183,,"236 US Highway 45, Indian Creek, IL 60061",,," archchicago.org/creation, creation@archchicago.org","Monica Fox, Gary Schiappacasse",,,
St John of the Cross Parish,,,-87.89732,41.79944,,"5005 Wolf Rd, Western Springs, IL 60558",,,,,,,
Assumption Parish,,,-87.63665,41.890652,,"323 W Illinois St, Chicago, IL 60654",,,,,,,
Growing Solutions Farm,,,-87.68143,41.87275,,"2200 W Campbell Park Dr, Chicago, IL 60612",,,,,,,
St Theresa Parish,,,-88.04066,42.11853,,"455 N Benton St, Palatine, IL 60067",,,,,,,
St Brigid Parish - St Patrick Church,,,-87.9234,42.42929,,"15000 W Wadsworth Rd, Wadsworth, IL 60083",,,,,,,
St James Parish - St James Community Farm,,,-87.62524,41.840984,,"2936 South Wabash Avenue Chicago, IL 60616",,,,,,,
Our Lady of the Snows School,,,-87.75236,41.80517,,"4810 S Leamington Ave, Chicago, IL 60638",,,,,,,
Catholic Charities,,,-87.85554,42.34734,,"671 S Lewis Ave, Waukegan, IL 60085",,,,,,,
St Norbert School,,,-87.82525,42.12735,,"1817 Walters Ave, Northbrook, IL 60062",,,,,,,
St Joseph School,,,-87.95253,42.28459,,"221 Park Pl, Libertyville, IL 60048",,,,,,,
St James Parish,,,-87.98095,42.09296,,"820 N Arlington Heights Rd, Arlington Heights, IL 60004",,,,,,,
St Francis de Sales Catholic Church,,,-88.08281,42.19471,,"135 S Buesching Rd, Lake Zurich, IL 60047",,,,,,,
Ascension Parish,,,-87.78881,41.87427,,"808 S East Ave, Oak Park, IL 60304",,,,,,,
Sheil Catholic Center,,,-87.67719,42.05589,,"2110 Sheridan Rd, Evanston, IL 60201",,,,,,,
Carmel Catholic High School,,,-87.98841,42.27249,,"1 Carmel Pkwy, Mundelein, IL 60060",,,,,,,
St John XXIII Parish,,,-87.68677,42.03221,,"806 Ridge Ave, Evanston, IL 60202",,,,,,,
Saint Anne Catholic Community,,,-88.1335,42.15528,,"120 Ela St, Barrington, IL 60010",,,,,,,
Sacred Heart & St Eulalia Parish,,,-87.85296,41.89467,,"819 N 16th Ave, Melrose Park, IL 60160",,,,,,,
St Clement Parish,,,-87.64594,41.92787,,"642 W Deming Pl, Chicago, Illinois 60614",,,,,,,
